编码,维度,单位,范围下限,范围上限,A,B,C,R2,最优x,优区间下限,优区间上限,曲线,推荐默认值
xa,整机宽度,mm,70.6,79.0,-0.0139,1.8587,-54.768,0.977,66.69,70.6,73.30,倒U,70.6
xc,手机厚度,mm,6.8,10.0,-0.3032,4.3809,-8.930,0.989,7.22,6.80,8.21,倒U,7.22
xi,整机重量,g,170,259,-0.00029,0.0867,0.623,0.957,149.7,170,191.8,倒U,170
xb,整机长宽比,x:9,18.59,21.0,-0.2273,8.8317,-79.355,0.593,19.43,,,倒U,19.43
xd,四边圆角,mm,5.0,11.0,-0.0059,0.3638,3.826,0.533,30.84,8.91,11.0,倒U,11.0
xy,四边圆角复测,mm,5.0,11.0,-0.0613,1.3700,-0.277,0.938,11.17,7.62,11.0,倒U,11.0
xe,侧边弧度,mm,0,3.0,-0.5468,2.5086,4.980,0.745,2.29,0.78,3.0,倒U,2.29
xf,正面弧度,档1-5.5,1.0,5.5,-0.2230,1.1187,5.746,0.674,2.51,1.0,4.08,倒U,2.51
xm,后摄装饰圈大小圆,%,20,60,-0.0021,0.1716,2.886,0.842,40.99,,,倒U,41
xn,后摄装饰圈大小方,%,20,80,-0.0013,0.1038,4.712,0.928,39.23,28.7,49.8,倒U,39
xp,后摄凸起高度圆,mm,0,6.2,-0.0944,-0.2355,7.676,0.970,-1.25,0,2.35,倒U,0
xq,后摄凸起高度方倒角,mm,0,6.2,-0.0477,-0.2558,7.379,0.982,-2.68,0,2.17,倒U,0
xt,屏占比边框宽,mm,1.1,2.3,0.3347,-3.7541,11.806,0.990,5.61,1.1,1.62,U,1.1
xo,后摄装饰圈大小跑道,%,20,70,0.00056,-0.1068,8.963,0.981,85.5,20,26.1,U,20
xx,长宽比U型复测,x:9,18.59,21.0,0.0405,-2.2163,34.324,0.894,27.3,18.59,19.38,U,18.59
